75 85 100 100 3 1 0 0 0 0 1 1 1 1 37.5 2 2 2 48.7 78.5 2 20.8 70
3.3 35 110 110 1 0 0 0 0 0 0 2 7.9 0 0 1 6 1 48.8 75.3 2 17.3 75
30.5 85 103 105 3 1 0 0 0 0 0 4 5.8 1 70 3 6 3 41.6 93.9 2 24.6 90
38.5 -25 97.3 100 2 1 0 0 0 0 0 1 3.6 1 0 2 6 2 46.1 64 1 12.4 77
54.3 22 109.2 98 3 1 0 0 0 0 0 1 8.2 1 7.8 3 7 2 51.9 77.9 2 45 95
38.5 -22.5 100 105.8 2 1 0 0 0 0 0 1 2.3 1 1.5 2 6 2 56.6 89.5 1 47.7 90
38.3 15.5 103.8 96.3 2 1 0 0 0 0 1 2 5.8 1 4 3 7 2 57.8 91.6 1 15.3 0
25.1 62.6 102.5 96 1 0 1 0 0 0 0 4 4.5 0 6.9 3 7 3 37.1 94 2 49.3 68
6.8 65 100 100 1 0 0 0 0 0 0 2 19.5 0 0 2 5 1 63.6 53.3 2 14.7 67
10.3 8 107.3 106.5 3 1 0 1 0 0 0 4 8.7 1 2.8 2 6 2 45.5 76.5 3 25.8 75
9.5 67.3 105 105 1 0 1 0 0 0 0 3 4.9 0 6.5 2 6 1 32.2 69.9 2 18.7 87
4.2 10 100 111.3 1 0 0 0 0 0 0 2 6.5 0 8.8 1 6 2 58.1 75.7 1 14 60
2.8 17.5 100 101.5 1 0 1 0 0 0 0 3 10.9 0 47.5 2 6 1 41.1 100.6 2 19.8 75
20.8 14.6 106.9 96 2 1 0 0 1 0 0 3 13.5 1 8.7 2 7 2 53.4 86.5 2 40.3 38
29 16.3 100 100 2 0 1 0 0 0 0 2 16.5 0 10.5 2 7 2 54.5 90.7 1 24.1 30
18.1 64 100 100 3 1 0 1 0 0 0 3 6.6 1 10 2 4 2 40.3 70.2 1 38.7 100
20 33 104 105.1 2 0 1 0 0 0 0 2 4.4 0 0 2 7 2 68.4 100.4 1 24.6 0
14.5 10 100 100.3 2 1 0 1 0 0 0 2 11.4 1 10.5 2 7 2 37.1 40 2 10 60
29 10 103.8 105 2 1 0 0 0 0 0 3 6.6 1 5 2 7 2 23.4 87.4 2 18.1 95
30.8 70 102.5 95 1 0 1 0 0 0 0 1 6.5 0 47.9 2 4 2 66.5 72.8 2 14.3 5
49.3 50 105 97.1 3 1 0 0 0 0 1 2 4.1 1 0 2 7 2 60.1 89.9 2 55.4 0
27.8 42.5 100 100 2 1 0 0 0 0 0 1 7.6 1 8.5 2 4 2 50.9 66 2 21.3 0
62.8 85 105 100 3 1 0 0 1 0 1 2 9.7 1 5 2 7 2 69.6 84.5 2 23.4 45
32.5 61.3 108.7 110 2 0 0 0 0 0 0 2 11.3 0 0 2 6 2 60.1 74.9 2 33.3 55
24.3 17.5 100 100 1 0 1 0 0 0 0 1 4.2 0 2.5 2 4 2 53.6 75 2 21.9 65
8 0 101.3 107 1 1 0 1 0 0 0 3 12.2 1 0 2 7 2 35.6 81.1 3 17.2 85
13.5 19.8 116.8 125 3 1 0 1 0 0 0 3 3.1 1 10 3 7 1 23.2 89.5 2 25.1 0
55.5 10 103 90 3 1 0 1 0 0 0 1 12.9 1 3 3 6 3 50.9 59.7 2 84.9 50
41.3 25 95.5 102 2 1 0 1 0 0 0 1 5.5 1 0 2 6 2 50.6 71.5 2 86.9 50
18 40.6 111.6 103 2 0 0 0 0 0 0 3 17.4 0 8.7 2 7 3 41.7 61.6 2 37.4 0
3 20 100 100.8 1 0 1 0 0 0 0 4 2.1 0 0 2 6 2 27.5 100.5 2 24.5 50
32.8 20 100 96 3 1 0 1 0 0 0 2 5 1 7.5 2 8 3 55.6 84.8 2 28.1 10
5 20 97.3 95.5 1 0 1 0 0 0 0 3 3.4 0 0 1 5 2 76.4 68.4 2 140 0
15 0 96.3 85 3 1 0 0 0 0 0 3 8.3 1 0 2 7 2 48.1 61 2 17.6 75
